;hp;attack;defense;spatk;spdef;speed;count_form;national_id;main_name;gambar;label
0;45;49;49;65;65;45;1;0;Bulbasaur;0.jpg;0
1;60;62;63;80;80;60;1;1;Ivysaur;1.jpg;4
2;80;82;83;100;100;80;2;2;Venusaur;2.jpg;2
3;80;100;123;122;120;80;2;3;Mega Venusaur;3.jpg;2
4;39;52;43;60;50;65;1;4;Charmander;4.jpg;0
5;58;64;58;80;65;80;1;5;Charmeleon;5.jpg;4
6;78;84;78;109;85;100;3;6;Charizard;6.jpg;2
7;78;130;111;130;85;100;3;7;Mega Charizard X;7.jpg;2
8;78;104;78;159;115;100;3;8;Mega Charizard Y;8.jpg;2
9;44;48;65;50;64;43;1;9;Squirtle;9.jpg;3
10;59;63;80;65;80;58;1;10;Wartortle;10.jpg;4
11;79;83;100;85;105;78;2;11;Blastoise;11.jpg;2
12;79;103;120;135;115;78;2;12;Mega Blastoise;12.jpg;2
13;45;30;35;20;20;45;1;13;Caterpie;13.jpg;0
14;50;20;55;25;25;30;1;14;Metapod;14.jpg;3
15;60;45;50;90;80;70;1;15;Butterfree;15.jpg;4
16;40;35;30;20;20;50;1;16;Weedle;16.jpg;0
17;45;25;50;25;25;35;1;17;Kakuna;17.jpg;3
18;65;90;40;45;80;75;2;18;Beedrill;18.jpg;1
19;65;150;40;15;80;145;2;19;Mega Beedrill;19.jpg;1
20;40;45;40;35;35;56;1;20;Pidgey;20.jpg;0
21;63;60;55;50;50;71;1;21;Pidgeotto;21.jpg;0
22;83;80;75;70;70;101;2;22;Pidgeot;22.jpg;1
23;83;80;80;135;80;121;2;23;Mega Pidgeot;23.jpg;2
24;30;56;35;25;35;72;2;24;Rattata;24.jpg;0
25;30;56;35;25;35;72;2;25;Alolan Rattata;25.jpg;0
26;55;81;60;50;70;97;2;26;Raticate;26.jpg;1
27;75;71;70;40;80;77;2;27;Alolan Raticate;27.jpg;1
28;40;60;30;31;31;70;1;28;Spearow;28.jpg;0
29;65;90;65;61;61;100;1;29;Fearow;29.jpg;1
30;35;60;44;40;54;55;1;30;Ekans;30.jpg;0
31;60;95;69;65;79;80;1;31;Arbok;31.jpg;1
32;35;55;40;50;50;90;2;32;Pikachu;32.jpg;0
33;45;80;50;75;60;120;2;33;Partner Pikachu;33.jpg;1
34;60;90;55;90;80;110;2;34;Raichu;34.jpg;4
35;60;85;50;95;85;110;2;35;Alolan Raichu;35.jpg;4
36;50;75;85;20;30;40;2;36;Sandshrew;36.jpg;3
37;50;75;90;10;35;40;2;37;Alolan Sandshrew;37.jpg;3
38;75;100;110;45;55;65;2;38;Sandslash;38.jpg;1
39;75;100;120;25;65;65;2;39;Alolan Sandslash;39.jpg;1
40;55;47;52;40;40;41;1;40;Nidoran♀;40.jpg;3
41;70;62;67;55;55;56;1;41;Nidorina;41.jpg;1
42;90;92;87;75;85;76;1;42;Nidoqueen;42.jpg;2
43;46;57;40;40;40;50;1;43;Nidoran♂;43.jpg;0
44;61;72;57;55;55;65;1;44;Nidorino;44.jpg;1
45;81;102;77;85;75;85;1;45;Nidoking;45.jpg;2
46;70;45;48;60;65;35;1;46;Clefairy;46.jpg;3
47;95;70;73;95;90;60;1;47;Clefable;47.jpg;4
48;38;41;40;50;65;65;2;48;Vulpix;48.jpg;0
49;38;41;40;50;65;65;2;49;Alolan Vulpix;49.jpg;0
50;73;76;75;81;100;100;2;50;Ninetales;50.jpg;4
51;73;67;75;81;100;109;2;51;Alolan Ninetales;51.jpg;4
52;115;45;20;45;25;20;1;52;Jigglypuff;52.jpg;3
53;140;70;45;85;50;45;1;53;Wigglytuff;53.jpg;5
54;40;45;35;30;40;55;1;54;Zubat;54.jpg;0
