,national_id,main_name,hp,attack,defense,spatk,spdef,speed,count_form
0,0,Bulbasaur,45,49,49,65,65,45,1
1,1,Ivysaur,60,62,63,80,80,60,1
2,2,Venusaur,80,82,83,100,100,80,2
3,3,Mega Venusaur,80,100,123,122,120,80,2
4,4,Charmander,39,52,43,60,50,65,1
5,5,Charmeleon,58,64,58,80,65,80,1
6,6,Charizard,78,84,78,109,85,100,3
7,7,Mega Charizard X,78,130,111,130,85,100,3
8,8,Mega Charizard Y,78,104,78,159,115,100,3
9,9,Squirtle,44,48,65,50,64,43,1
10,10,Wartortle,59,63,80,65,80,58,1
11,11,Blastoise,79,83,100,85,105,78,2
12,12,Mega Blastoise,79,103,120,135,115,78,2
13,13,Caterpie,45,30,35,20,20,45,1
14,14,Metapod,50,20,55,25,25,30,1
15,15,Butterfree,60,45,50,90,80,70,1
16,16,Weedle,40,35,30,20,20,50,1
17,17,Kakuna,45,25,50,25,25,35,1
18,18,Beedrill,65,90,40,45,80,75,2
19,19,Mega Beedrill,65,150,40,15,80,145,2
20,20,Pidgey,40,45,40,35,35,56,1
21,21,Pidgeotto,63,60,55,50,50,71,1
22,22,Pidgeot,83,80,75,70,70,101,2
23,23,Mega Pidgeot,83,80,80,135,80,121,2
24,24,Rattata,30,56,35,25,35,72,2
25,25,Alolan Rattata,30,56,35,25,35,72,2
26,26,Raticate,55,81,60,50,70,97,2
27,27,Alolan Raticate,75,71,70,40,80,77,2
28,28,Spearow,40,60,30,31,31,70,1
29,29,Fearow,65,90,65,61,61,100,1
30,30,Ekans,35,60,44,40,54,55,1
31,31,Arbok,60,95,69,65,79,80,1
32,32,Pikachu,35,55,40,50,50,90,2
33,33,Partner Pikachu,45,80,50,75,60,120,2
34,34,Raichu,60,90,55,90,80,110,2
35,35,Alolan Raichu,60,85,50,95,85,110,2
36,36,Sandshrew,50,75,85,20,30,40,2
37,37,Alolan Sandshrew,50,75,90,10,35,40,2
38,38,Sandslash,75,100,110,45,55,65,2
39,39,Alolan Sandslash,75,100,120,25,65,65,2
40,40,Nidoran♀,55,47,52,40,40,41,1
41,41,Nidorina,70,62,67,55,55,56,1
42,42,Nidoqueen,90,92,87,75,85,76,1
43,43,Nidoran♂,46,57,40,40,40,50,1
44,44,Nidorino,61,72,57,55,55,65,1
45,45,Nidoking,81,102,77,85,75,85,1
46,46,Clefairy,70,45,48,60,65,35,1
47,47,Clefable,95,70,73,95,90,60,1
48,48,Vulpix,38,41,40,50,65,65,2
49,49,Alolan Vulpix,38,41,40,50,65,65,2
50,50,Ninetales,73,76,75,81,100,100,2
51,51,Alolan Ninetales,73,67,75,81,100,109,2
52,52,Jigglypuff,115,45,20,45,25,20,1
53,53,Wigglytuff,140,70,45,85,50,45,1
54,54,Zubat,40,45,35,30,40,55,1
55,55,Golbat,75,80,70,65,75,90,1
56,56,Oddish,45,50,55,75,65,30,1
57,57,Gloom,60,65,70,85,75,40,1
58,58,Vileplume,75,80,85,110,90,50,1
59,59,Paras,35,70,55,45,55,25,1
60,60,Parasect,60,95,80,60,80,30,1
61,61,Venonat,60,55,50,40,55,45,1
62,62,Venomoth,70,65,60,90,75,90,1
63,63,Diglett,10,55,25,35,45,95,2
64,64,Alolan Diglett,10,55,30,35,45,90,2
65,65,Dugtrio,35,100,50,50,70,120,2
66,66,Alolan Dugtrio,35,100,60,50,70,110,2
67,67,Meowth,40,45,35,40,40,90,3
68,68,Alolan Meowth,40,35,35,50,40,90,3
69,69,Galarian Meowth,50,65,55,40,40,40,3
70,70,Persian,65,70,60,65,65,115,2
71,71,Alolan Persian,65,60,60,75,65,115,2
72,72,Psyduck,50,52,48,65,50,55,1
73,73,Golduck,80,82,78,95,80,85,1
74,74,Mankey,40,80,35,35,45,70,1
75,75,Primeape,65,105,60,60,70,95,1
76,76,Growlithe,55,70,45,70,50,60,2
77,77,Hisuian Growlithe,60,75,45,65,50,55,2
78,78,Arcanine,90,110,80,100,80,95,2
79,79,Hisuian Arcanine,95,115,80,95,80,90,2
80,80,Poliwag,40,50,40,40,40,90,1
81,81,Poliwhirl,65,65,65,50,50,90,1
82,82,Poliwrath,90,95,95,70,90,70,1
83,83,Abra,25,20,15,105,55,90,1
84,84,Kadabra,40,35,30,120,70,105,1
85,85,Alakazam,55,50,45,135,95,120,2
86,86,Mega Alakazam,55,50,65,175,105,150,2
87,87,Machop,70,80,50,35,35,35,1
88,88,Machoke,80,100,70,50,60,45,1
89,89,Machamp,90,130,80,65,85,55,1
90,90,Bellsprout,50,75,35,70,30,40,1
91,91,Weepinbell,65,90,50,85,45,55,1
92,92,Victreebel,80,105,65,100,70,70,1
93,93,Tentacool,40,40,35,50,100,70,1
94,94,Tentacruel,80,70,65,80,120,100,1
95,95,Geodude,40,80,100,30,30,20,2
96,96,Alolan Geodude,40,80,100,30,30,20,2
97,97,Graveler,55,95,115,45,45,35,2
98,98,Alolan Graveler,55,95,115,45,45,35,2
99,99,Golem,80,120,130,55,65,45,2
100,100,Alolan Golem,80,120,130,55,65,45,2
101,101,Ponyta,50,85,55,65,65,90,2
102,102,Galarian Ponyta,50,85,55,65,65,90,2
103,103,Rapidash,65,100,70,80,80,105,2
104,104,Galarian Rapidash,65,100,70,80,80,105,2
105,105,Slowpoke,90,65,65,40,40,15,2
106,106,Galarian Slowpoke,90,65,65,40,40,15,2
107,107,Slowbro,95,75,110,100,80,30,3
108,108,Mega Slowbro,95,75,180,130,80,30,3
109,109,Galarian Slowbro,95,100,95,100,70,30,3
110,110,Magnemite,25,35,70,95,55,45,1
111,111,Magneton,50,60,95,120,70,70,1
112,112,Farfetch'd,52,90,55,58,62,60,2
113,113,Galarian Farfetch'd,52,95,55,58,62,55,2
114,114,Doduo,35,85,45,35,35,75,1
115,115,Dodrio,60,110,70,60,60,110,1
116,116,Seel,65,45,55,45,70,45,1
117,117,Dewgong,90,70,80,70,95,70,1
118,118,Grimer,80,80,50,40,50,25,2
119,119,Alolan Grimer,80,80,50,40,50,25,2
120,120,Muk,105,105,75,65,100,50,2
121,121,Alolan Muk,105,105,75,65,100,50,2
122,122,Shellder,30,65,100,45,25,40,1
123,123,Cloyster,50,95,180,85,45,70,1
124,124,Gastly,30,35,30,100,35,80,1
125,125,Haunter,45,50,45,115,55,95,1
126,126,Gengar,60,65,60,130,75,110,2
127,127,Mega Gengar,60,65,80,170,95,130,2
128,128,Onix,35,45,160,30,45,70,1
129,129,Drowzee,60,48,45,43,90,42,1
130,130,Hypno,85,73,70,73,115,67,1
131,131,Krabby,30,105,90,25,25,50,1
132,132,Kingler,55,130,115,50,50,75,1
133,133,Voltorb,40,30,50,55,55,100,2
134,134,Hisuian Voltorb,40,30,50,55,55,100,2
135,135,Electrode,60,50,70,80,80,150,2
136,136,Hisuian Electrode,60,50,70,80,80,150,2
137,137,Exeggcute,60,40,80,60,45,40,1
138,138,Exeggutor,95,95,85,125,75,55,2
139,139,Alolan Exeggutor,95,105,85,125,75,45,2
140,140,Cubone,50,50,95,40,50,35,1
141,141,Marowak,60,80,110,50,80,45,2
142,142,Alolan Marowak,60,80,110,50,80,45,2
143,143,Hitmonlee,50,120,53,35,110,87,1
144,144,Hitmonchan,50,105,79,35,110,76,1
145,145,Lickitung,90,55,75,60,75,30,1
146,146,Koffing,40,65,95,60,45,35,1
147,147,Weezing,65,90,120,85,70,60,2
148,148,Galarian Weezing,65,90,120,85,70,60,2
149,149,Rhyhorn,80,85,95,30,30,25,1
150,150,Rhydon,105,130,120,45,45,40,1
151,151,Chansey,250,5,5,35,105,50,1
152,152,Tangela,65,55,115,100,40,60,1
153,153,Kangaskhan,105,95,80,40,80,90,2
154,154,Mega Kangaskhan,105,125,100,60,100,100,2
155,155,Horsea,30,40,70,70,25,60,1
156,156,Seadra,55,65,95,95,45,85,1
157,157,Goldeen,45,67,60,35,50,63,1
158,158,Seaking,80,92,65,65,80,68,1
159,159,Staryu,30,45,55,70,55,85,1
160,160,Starmie,60,75,85,100,85,115,1
161,161,Mr. Mime,40,45,65,100,120,90,2
162,162,Galarian Mr. Mime,50,65,65,90,90,100,2
163,163,Scyther,70,110,80,55,80,105,1
164,164,Jynx,65,50,35,115,95,95,1
165,165,Electabuzz,65,83,57,95,85,105,1
166,166,Magmar,65,95,57,100,85,93,1
167,167,Pinsir,65,125,100,55,70,85,2
168,168,Mega Pinsir,65,155,120,65,90,105,2
169,169,Tauros,75,100,95,40,70,110,4
170,170,Combat Breed,75,110,105,30,70,100,4
171,171,Blaze Breed,75,110,105,30,70,100,4
172,172,Aqua Breed,75,110,105,30,70,100,4
173,173,Magikarp,20,10,55,15,20,80,1
174,174,Gyarados,95,125,79,60,100,81,2
175,175,Mega Gyarados,95,155,109,70,130,81,2
176,176,Lapras,130,85,80,85,95,60,1
177,177,Ditto,48,48,48,48,48,48,1
178,178,Eevee,55,55,50,45,65,55,2
179,179,Partner Eevee,65,75,70,65,85,75,2
180,180,Vaporeon,130,65,60,110,95,65,1
181,181,Jolteon,65,65,60,110,95,130,1
182,182,Flareon,65,130,60,95,110,65,1
183,183,Porygon,65,60,70,85,75,40,1
184,184,Omanyte,35,40,100,90,55,35,1
185,185,Omastar,70,60,125,115,70,55,1
186,186,Kabuto,30,80,90,55,45,55,1
187,187,Kabutops,60,115,105,65,70,80,1
188,188,Aerodactyl,80,105,65,60,75,130,2
189,189,Mega Aerodactyl,80,135,85,70,95,150,2
190,190,Snorlax,160,110,65,65,110,30,1
191,191,Articuno,90,85,100,95,125,85,2
192,192,Galarian Articuno,90,85,85,125,100,95,2
193,193,Zapdos,90,90,85,125,90,100,2
194,194,Galarian Zapdos,90,125,90,85,90,100,2
195,195,Moltres,90,100,90,125,85,90,2
196,196,Galarian Moltres,90,85,90,100,125,90,2
197,197,Dratini,41,64,45,50,50,50,1
198,198,Dragonair,61,84,65,70,70,70,1
199,199,Dragonite,91,134,95,100,100,80,1
200,200,Mewtwo,106,110,90,154,90,130,3
201,201,Mega Mewtwo X,106,190,100,154,100,130,3
202,202,Mega Mewtwo Y,106,150,70,194,120,140,3
203,203,Mew,100,100,100,100,100,100,1
204,204,Chikorita,45,49,65,49,65,45,1
205,205,Bayleef,60,62,80,63,80,60,1
206,206,Meganium,80,82,100,83,100,80,1
207,207,Cyndaquil,39,52,43,60,50,65,1
208,208,Quilava,58,64,58,80,65,80,1
209,209,Typhlosion,78,84,78,109,85,100,2
210,210,Hisuian Typhlosion,73,84,78,119,85,95,2
211,211,Totodile,50,65,64,44,48,43,1
212,212,Croconaw,65,80,80,59,63,58,1
213,213,Feraligatr,85,105,100,79,83,78,1
214,214,Sentret,35,46,34,35,45,20,1
215,215,Furret,85,76,64,45,55,90,1
216,216,Hoothoot,60,30,30,36,56,50,1
217,217,Noctowl,100,50,50,86,96,70,1
218,218,Ledyba,40,20,30,40,80,55,1
219,219,Ledian,55,35,50,55,110,85,1
220,220,Spinarak,40,60,40,40,40,30,1
221,221,Ariados,70,90,70,60,70,40,1
222,222,Crobat,85,90,80,70,80,130,1
223,223,Chinchou,75,38,38,56,56,67,1
224,224,Lanturn,125,58,58,76,76,67,1
225,225,Pichu,20,40,15,35,35,60,1
226,226,Cleffa,50,25,28,45,55,15,1
227,227,Igglybuff,90,30,15,40,20,15,1
228,228,Togepi,35,20,65,40,65,20,1
229,229,Togetic,55,40,85,80,105,40,1
230,230,Natu,40,50,45,70,45,70,1
231,231,Xatu,65,75,70,95,70,95,1
232,232,Mareep,55,40,40,65,45,35,1
233,233,Flaaffy,70,55,55,80,60,45,1
234,234,Ampharos,90,75,85,115,90,55,2
235,235,Mega Ampharos,90,95,105,165,110,45,2
236,236,Bellossom,75,80,95,90,100,50,1
237,237,Marill,70,20,50,20,50,40,1
238,238,Azumarill,100,50,80,60,80,50,1
239,239,Sudowoodo,70,100,115,30,65,30,1
240,240,Politoed,90,75,75,90,100,70,1
241,241,Hoppip,35,35,40,35,55,50,1
242,242,Skiploom,55,45,50,45,65,80,1
243,243,Jumpluff,75,55,70,55,95,110,1
244,244,Aipom,55,70,55,40,55,85,1
245,245,Sunkern,30,30,30,30,30,30,1
246,246,Sunflora,75,75,55,105,85,30,1
247,247,Yanma,65,65,45,75,45,95,1
248,248,Wooper,55,45,45,25,25,15,2
249,249,Paldean Wooper,55,45,45,25,25,15,2
250,250,Quagsire,95,85,85,65,65,35,1
251,251,Espeon,65,65,60,130,95,110,1
252,252,Umbreon,95,65,110,60,130,65,1
253,253,Murkrow,60,85,42,85,42,91,1
254,254,Slowking,95,75,80,100,110,30,2
255,255,Galarian Slowking,95,65,80,110,110,30,2
256,256,Misdreavus,60,60,60,85,85,85,1
257,257,Unown,48,72,48,72,48,48,1
258,258,Wobbuffet,190,33,58,33,58,33,1
259,259,Girafarig,70,80,65,90,65,85,1
260,260,Pineco,50,65,90,35,35,15,1
261,261,Forretress,75,90,140,60,60,40,1
262,262,Dunsparce,100,70,70,65,65,45,1
263,263,Gligar,65,75,105,35,65,85,1
264,264,Steelix,75,85,200,55,65,30,2
265,265,Mega Steelix,75,125,230,55,95,30,2
266,266,Snubbull,60,80,50,40,40,30,1
267,267,Granbull,90,120,75,60,60,45,1
268,268,Qwilfish,65,95,85,55,55,85,2
269,269,Hisuian Qwilfish,65,95,85,55,55,85,2
270,270,Scizor,70,130,100,55,80,65,2
271,271,Mega Scizor,70,150,140,65,100,75,2
272,272,Shuckle,20,10,230,10,230,5,1
273,273,Heracross,80,125,75,40,95,85,2
274,274,Mega Heracross,80,185,115,40,105,75,2
275,275,Sneasel,55,95,55,35,75,115,2
276,276,Hisuian Sneasel,55,95,55,35,75,115,2
277,277,Teddiursa,60,80,50,50,50,40,1
278,278,Ursaring,90,130,75,75,75,55,1
279,279,Slugma,40,40,40,70,40,20,1
280,280,Magcargo,60,50,120,90,80,30,1
281,281,Swinub,50,50,40,30,30,50,1
282,282,Piloswine,100,100,80,60,60,50,1
283,283,Corsola,65,55,95,65,95,35,2
284,284,Galarian Corsola,60,55,100,65,100,30,2
285,285,Remoraid,35,65,35,65,35,65,1
286,286,Octillery,75,105,75,105,75,45,1
287,287,Delibird,45,55,45,65,45,75,1
288,288,Mantine,85,40,70,80,140,70,1
289,289,Skarmory,65,80,140,40,70,70,1
290,290,Houndour,45,60,30,80,50,65,1
